code,name,预低
603916,苏博特,-0.5616782308
002971,和远气体,-1.2985897064
603125,常青科技,-1.4392923117
002453,华软科技,-1.2217969894
603217,元利科技,-1.6857110262
603065,宿迁联盛,-1.1039721966
002430,杭氧股份,-1.4932733774
002809,红墙股份,-0.7958415151
603683,晶华新材,-2.2885580063
002591,恒大高新,-0.7969512939
002802,洪汇新材,-1.0667498112
603051,鹿山新材,-1.2712833881
600727,鲁北化工,-1.1648600101
603255,鼎际得,-1.57056427
002455,百川股份,-1.5022625923
000912,泸天化,-0.4090152383
000731,四川美丰,-1.3062353134
600426,华鲁恒升,-0.7356672883
600227,赤天化,-0.9809251428
600691,阳煤化工,-0.8267902136
002319,乐通股份,-0.9004321098
000565,渝三峡Ａ,-1.286382556
603823,百合花,0.104752183
603110,东方材料,-1.8152315617
603192,汇得科技,-0.9024891257
600230,沧州大化,-1.0311071873
002165,红 宝 丽,-1.0493614674
603041,美思德,-0.5829507709
600309,万华化学,-0.9875876904
002497,雅化集团,-0.6357930899
603725,天安新材,-2.1311092377
002443,金洲管道,-1.0507507324
002318,久立特材,-1.1086118221
600399,抚顺特钢,-3.7198371887
000825,太钢不锈,-0.8481985331
600507,方大特钢,-1.0576815605
002478,常宝股份,-0.9143782258
000708,中信特钢,-1.2067545652
603995,甬金股份,-1.0592479706
603191,望变电气,-0.9887005091
600117,西宁特钢,-1.793341279
002075,沙钢股份,-3.2491679192
000778,新兴铸管,-0.7714833021
600282,南钢股份,-1.1074593067
000959,首钢股份,-0.5271216035
000709,河钢股份,-0.741281271
600782,新钢股份,-1.4341951609
601686,友发集团,-0.991692543
000898,鞍钢股份,-1.1387965679
600808,马钢股份,-0.1967358887
600022,山东钢铁,-0.6437200308
600019,宝钢股份,-0.9688075781
600126,杭钢股份,-0.553324461
601005,重庆钢铁,-2.3708143234
600010,包钢股份,-0.8891431093
600581,八一钢铁,-0.7807211876
600307,酒钢宏兴,-1.6495375633
603878,武进不锈,-0.4296909571
601003,柳钢股份,-0.3408242464
000761,本钢板材,-0.520504415
600569,安阳钢铁,-1.32041049
000932,华菱钢铁,-1.0334976912
600231,凌钢股份,-1.218672514
002110,三钢闽光,-0.8564288616
000717,中南股份,-3.1291604042
600516,方大炭素,-0.7092057467
001203,大中矿业,-0.6644998193
000629,钒钛股份,-1.097764492
000655,金岭矿业,-0.4058127403
600295,鄂尔多斯,-1.3577340841
600382,广东明珠,-0.5348792672
601121,宝地矿业,-0.3462441564
000923,河钢资源,-0.9355120659
601969,海南矿业,-0.664064765
603978,深圳新星,-3.3617959023
000969,安泰科技,-1.1306893826
603045,福达合金,-1.6356129646
601137,博威合金,-1.103153944
605158,华达新材,-3.3234934807
600255,鑫科材料,-0.6641606092
000633,合金投资,-1.0730085373
000795,英洛华,-0.3439668119
600366,宁波韵升,-0.965957284
000970,中科三环,-0.6652479172
603256,宏和科技,-1.1061441898
000012,南  玻Ａ,-0.2343642116
002080,中材科技,-0.4837617874
603601,再升科技,-0.9622710943
002613,北玻股份,-0.5196550488
600293,三峡新材,-1.5572906733
600819,耀皮玻璃,-0.8938364983
600176,中国巨石,-1.1573938131
605006,山东玻纤,-0.1977183521
601636,旗滨集团,-1.3210124969
002201,正威新材,-0.3857996464
002457,青龙管业,-2.5461153984
603856,东宏股份,-1.4406739473
002641,公元股份,-0.765244782
002694,顾地科技,-0.5274273157
002372,伟星新材,-1.909034729
603616,韩建河山,-1.3783400059
002205,国统股份,-1.5844341516
605122,四方新材,-2.3012237549
000935,四川双马,8.502073288
003037,三和管桩,-0.762078166
600425,青松建化,-1.4714823961
002233,塔牌集团,-1.2104798555
002671,龙泉股份,-1.033727169
600585,海螺水泥,-0.7643616796
000401,冀东水泥,-1.3813724518
600668,尖峰集团,-0.7921440601
000672,上峰水泥,-2.2598876953
000877,天山股份,-2.285800457
000789,万年青,-2.1793546677
601992,金隅集团,-1.5796467066
600801,华新水泥,-1.8744039536
600449,宁夏建材,-1.7488083839
002596,海南瑞泽,-1.6024798155
600678,四川金顶,-6.7322187424
600802,福建水泥,-1.1160339117
002302,西部建设,-5.1187901497
600326,西藏天路,-1.5709799528
605318,法狮龙,-0.1246730685
002247,聚力文化,-1.027004838
002785,万里石,-2.0505027771
001296,长江材料,-0.7912681103
002398,垒知集团,-0.7787572145
002043,兔 宝 宝,-0.7438685894
002333,罗普斯金,-0.4489780664
002718,友邦吊顶,-0.1478770077
000786,北新建材,-1.0347608328
000055,方大集团,-0.3427630067
002791,坚朗五金,-2.0167593956
001212,中旗新材,-0.8183951378
603038,华立股份,8.5199184418
603378,亚士创能,-1.304236412
002652,扬子新材,-0.937582612
002271,东方雨虹,-1.7240681648
603737,三棵树,-2.5822038651
000619,海螺新材,-1.050927639
002392,北京利尔,0.0624615252
002088,鲁阳节能,-0.1418482959
002225,濮耐股份,-0.3411521912
002066,瑞泰科技,0.1771491766
000546,金圆股份,-0.6996701956
603316,诚邦股份,-1.7100747824
605178,时空科技,-0.0549336672
603137,恒尚节能,-0.5368021131
002856,美芝股份,-1.9211953878
002775,文科股份,-1.4913725853
001267,汇绿生态,-1.3388200998
601886,江河集团,-0.8140900135
002830,名雕股份,-1.7277075052
002047,宝鹰股份,
002081,金 螳 螂,-0.7662500143
002620,瑞和股份,-1.6836215258
002963,豪尔赛,-1.645190239
002431,棕榈股份,-0.8086020947
605289,罗曼股份,-0.9572952986
605287,德才股份,-2.6056475639
603030,全筑股份,-1.4064302444
002713,东易日盛,7.105453968
002663,普邦股份,-1.0722820759
002789,建艺集团,-0.7486267686
002163,海南发展,-0.0284886062
002989,中天精装,-2.5529503822
002375,亚厦股份,-0.9398076534
603955,大千生态,-1.144217968
000010,美丽生态,-0.2473959327
600193,创兴资源,-0.168407619
002482,广田集团,-0.300745815
605303,园林股份,-1.5690692663
002949,华阳国际,-1.55907166
002811,郑中设计,-0.9878630638
603018,华设集团,-0.8659404516
600667,太极实业,-1.823793292
603153,上海建科,-0.68054986
