code,name,流通市值,市盈率,昨收,昨高,昨低,涨停次数,连板次数,industry,industry_sub,可能退市,营业收入,净利润,融资融券,zhuan,债券代码
002474,榕基软件,3094365459.0,-74.3,5.54,5.57,5.35,17.0,6.0,IT服务,IT服务,0,3.7500921929,11797597.48,0.0,,
605398,新炬网络,3164833572.0,85.63,18.25,18.3,17.6,23.0,7.0,IT服务,IT服务,0,6.3650593435,59657067.52,0.0,,
600589,广东榕泰,4878950637.0,-65.3,3.14,3.2,3.08,5.0,3.0,IT服务,IT服务,0,3.6682735469,82724744.02,0.0,,
002232,启明信息,8718424030.0,8198.8,18.67,19.0,18.4,21.0,8.0,IT服务,IT服务,0,12.4318817021,73160598.7,0.0,,
600756,浪潮软件,4582756367.0,-25.86,14.42,14.53,13.62,6.0,0.0,IT服务,IT服务,0,25.5320119551,91679660.34,1.0,,
002642,荣联科技,4530229317.0,213.78,7.17,7.24,6.96,21.0,6.0,IT服务,IT服务,0,23.7581862729,12199930.51,0.0,,
600476,湘邮科技,2419271400.0,-246.45,14.97,15.15,14.46,11.0,1.0,IT服务,IT服务,0,5.8551492809,5288117.52,0.0,,
600570,恒生电子,52429927372.0,877.04,25.58,26.44,24.61,7.0,3.0,软件开发,软件开发,0,72.8120297992,1443210558.83,1.0,,
002261,拓维信息,22547415960.0,3765.91,21.03,22.0,20.0,23.0,5.0,软件开发,软件开发,0,31.541416991,47693045.54,0.0,,
601519,大智慧,20038656000.0,-72.73,7.84,8.04,7.5,11.0,2.0,软件开发,软件开发,0,7.7739097596,85834411.53,1.0,,
000503,国新健康,10639471111.0,-74.89,11.68,11.78,10.55,10.0,1.0,软件开发,软件开发,1,3.3012671806,-80319438.02,0.0,,
603383,顶点软件,9146311477.0,94.5,37.22,38.0,35.95,14.0,4.0,软件开发,软件开发,0,7.4390934844,234942611.92,1.0,,
002178,延华智能,3793804232.0,-152.95,4.87,4.94,4.59,19.0,7.0,软件开发,软件开发,0,6.7557032051,25731942.33,0.0,,
600602,云赛智联,16533523016.0,93.13,14.47,14.55,13.75,17.0,3.0,软件开发,软件开发,0,52.6380358233,228275125.2,1.0,,
000948,南天信息,8483056549.0,170.61,18.75,19.39,18.57,16.0,4.0,软件开发,软件开发,0,91.3756664895,172073600.33,0.0,,
603189,网达软件,5396357947.0,449.25,16.72,17.02,16.37,23.0,9.0,软件开发,软件开发,1,2.954902937,36634834.36,0.0,,
603927,中科软,19080678400.0,50.48,21.39,21.88,20.65,4.0,1.0,软件开发,软件开发,0,65.0263321495,654714013.27,1.0,,
002153,石基信息,12942089174.0,446.53,7.06,7.17,6.89,7.0,2.0,软件开发,软件开发,1,27.4932874928,-49482409.5,0.0,,
002987,京北方,9379423264.0,40.24,15.25,15.88,15.09,9.0,1.0,软件开发,软件开发,0,42.4201113087,347627140.82,0.0,,
002410,广联达,23571398245.0,63.9,15.02,15.2,14.13,10.0,3.0,软件开发,软件开发,0,65.6336346364,1012032692.25,0.0,,
002212,天融信,7296105831.0,-17.91,5.62,5.7,5.51,2.0,1.0,软件开发,软件开发,0,31.2449370139,205204287.03,0.0,,
002405,四维图新,23760365298.0,-33.94,8.8,8.99,8.68,5.0,1.0,软件开发,软件开发,1,31.2181953069,-510955213.76,0.0,,
002230,科大讯飞,103763079585.0,-137.03,43.0,43.56,42.06,7.0,1.0,软件开发,软件开发,0,196.5032920904,613146459.21,0.0,,
002362,汉王科技,4070725754.0,-47.28,18.24,18.48,17.66,23.0,12.0,软件开发,软件开发,1,14.5031171073,-169870699.16,0.0,,
002322,理工能科,5566550105.0,20.28,14.75,14.99,14.4,4.0,2.0,软件开发,软件开发,0,10.9834071522,245915027.12,0.0,,
603039,泛微网络,10166125878.0,107.13,36.12,36.39,34.44,8.0,2.0,软件开发,软件开发,0,23.9319253519,223226812.32,1.0,,
002063,远光软件,10640845615.0,102.08,5.58,5.67,5.45,2.0,0.0,软件开发,软件开发,0,23.8876702012,359481436.34,0.0,,
600588,用友网络,40559759245.0,-25.54,10.93,11.12,10.61,5.0,2.0,软件开发,软件开发,0,97.96071603,224797081.0,1.0,,
002439,启明星辰,12839581457.0,-59.26,16.31,16.55,15.8,5.0,3.0,软件开发,软件开发,0,45.0691212967,739544751.76,0.0,,
603232,格尔软件,2967587917.0,-30.03,12.21,12.38,11.88,19.0,6.0,软件开发,软件开发,0,5.6134565819,36581722.88,0.0,,
003029,吉大正元,3694653496.0,-67.11,20.86,21.25,20.58,26.0,1.0,软件开发,软件开发,1,4.0796346776,-23371426.81,0.0,,
601360,三六零,64165361509.0,-94.01,8.13,8.26,8.03,12.0,2.0,软件开发,软件开发,1,90.55425,-499107000.0,1.0,,
000004,国华网安,2111536915.0,-58.23,18.15,19.24,17.5,31.0,9.0,软件开发,软件开发,1,1.1004854832,-160126339.18,0.0,,
002279,久其软件,4977464538.0,-18.02,5.8,5.88,5.6,24.0,10.0,软件开发,软件开发,0,34.117236413,58276185.84,0.0,,
603528,多伦科技,5280357380.0,132.86,7.05,7.16,6.89,17.0,6.0,软件开发,软件开发,0,5.3142529408,42864219.71,0.0,,
003007,直真科技,2093425831.0,-63.56,27.2,27.24,26.08,22.0,8.0,软件开发,软件开发,0,4.3603374299,77382267.68,0.0,,
603990,麦迪科技,3179214748.0,-20.82,9.99,10.3,9.86,7.0,1.0,软件开发,软件开发,0,6.1814146576,35489058.43,1.0,,
002253,川大智胜,2435058892.0,-77.37,13.24,13.24,11.71,23.0,8.0,软件开发,软件开发,1,1.7969778188,-61185901.43,0.0,,
603728,鸣志电器,22301304300.0,279.35,42.04,43.39,41.59,18.0,2.0,电机,电机,0,25.4279111761,249070060.24,0.0,,
003021,兆威机电,10089228017.0,62.63,43.96,44.99,43.01,15.0,0.0,电机,电机,0,12.0594533711,179923314.35,0.0,,
000922,佳电股份,6329415047.0,18.3,10.32,10.38,10.11,1.0,0.0,电机,电机,0,53.2051394927,442276849.78,0.0,,
600416,湘电股份,16130196436.0,48.35,11.56,11.83,11.46,2.0,0.0,电机,电机,0,45.6335643395,299843388.25,1.0,,
002801,微光股份,2456175267.0,15.72,20.15,20.37,19.81,1.0,0.0,电机,电机,0,12.6800502231,307037997.52,0.0,,
600580,卧龙电驱,16719960590.0,21.28,11.82,11.97,11.62,6.0,1.0,电机,电机,0,155.6682698621,838564592.01,1.0,,
002576,通达动力,2133903110.0,33.78,12.51,12.7,12.4,14.0,5.0,电机,电机,0,16.7531109974,87772042.86,0.0,,
002249,大洋电机,9937810630.0,14.85,5.18,5.24,5.13,1.0,0.0,电机,电机,0,112.8822408592,674544763.13,0.0,,
603489,八方股份,5026928134.0,49.62,19.11,19.55,18.88,5.0,1.0,电机,电机,0,16.4772287151,512130233.66,1.0,,
002196,方正电机,2497393592.0,1502.39,4.78,4.83,4.72,10.0,3.0,电机,电机,0,24.9597478534,99535993.93,0.0,,
002892,科力尔,4508157689.0,149.15,10.36,10.66,10.25,20.0,4.0,电机,电机,0,12.9528521278,68423961.81,0.0,,
002823,凯中精密,3177051707.0,31.17,13.81,14.1,13.62,14.0,5.0,电机,电机,0,30.2397696888,76718600.89,0.0,,
